Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is communication? 
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is a wireless communication system?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is modulation? What are the types of modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is the physical significance of the modulation index for an AM signal?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What are the different amplitude modulation& demodulation schemes?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,Significance of amplitude modulation.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Advantage of the envelope detection technique.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the drawbacks of a coherent detector?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the drawback of the square law modulator?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is a spectrum analyzer?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the band-limited signal? Why signal is made band-limited?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is FDM technique? Why do we use guard band in FDM?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Generation method of FM.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is a PLL detector? Why it is preferred over other detectors?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,15 What are the components of Receivers in a communication system?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,Characteristics parameter of receivers.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What are the main features of the superheterodyne receiver?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is the TDM technique in communication? What are its applications?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Image frequency in the super heterodyne receiver? How it can be removed?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What are the applications of a superheterodyne receiver?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is phase modulation used for?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,Tuned radio frequency receiver disadvantages
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Relation between phase modulation and frequency modulation.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the Advantage of Frequency modulation over Amplitude modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,The amount of frequency deviation in FM signal depends on what factors?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,How the selectivity of a receiver can be improved?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,The most commonly used modulation scheme for telegraphy is?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,Why do we need sampling in communication?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,How many samples are necessary to ensure we are preserving the information contained in the signal?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What happens if we sample a signal at a frequency that is lower than the Nyquist rate? 
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,How can signals be prevented from aliasing?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are uniform and non-uniform quantization?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Application of quantization in communication.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is commanding?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is Bandpass modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,How does QAM modulation work?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Which is better BPSK or QPSK?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What type of modulation do cell phones use.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are FSK and PSK?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Why was DPCM introduced in digital communications?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the advantages of delta modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Why is adaptive delta modulation preferred over delta modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the real-life applications of adaptive delta modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Advantage of M- ary signaling scheme over binary signaling scheme.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the disadvantages associated with M- array signaling scheme?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is white noise in analog communications?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is narrow-band noise? What is its significance?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,Advantages of using synchronous detector.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is solar noise?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is shot noise? When does it occur?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is  Differential phase-shift keying (DPSK)?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,Advantages and disadvantages of DPSK modulation.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is a Random process? Give example.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,Explain the deterministic and non-deterministic random processes with examples.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Ergodic random process?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is the use of random processes in communication system?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,Why do we use the gaussian random variables to represent the noise in the communication system?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is the difference between a random process and a random variable?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the need for channel coding in digital communications?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is an eye pattern in communication?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is jitter? How it can be avoided?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the difference between bit rate and baud rate?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the effects of errors in data transmission and reception?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is bit error rate (BER)?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the factors affecting the bit error rate?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,How to avoid inter-symbol interference?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Pre-emphasis and de-emphasis mechanism? Where do we use it?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Why pre-emphasis and de-emphasis mechanisms are not required in AM receivers?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Why do we calculate the FOM of the receiver?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,72 What is intermodulation noise? How it can be removed?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,Explain the checksum technique of error detection.
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What are the different sources of error in communication? How these errors can be avoided?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,Why do we calculate the signal-to-noise ratio in communication?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is constellation diagram? What does it signify?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the quadrature null effect? How it can be avoided?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the need of using VSB modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Vestigial sideband modulation?
Provide a good Communications system enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is the use of a mixer circuit in communication?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is a Network?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,How the networks are classified on the basis of Topology?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,How will you define network topology?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,Which network topology is the most widely used topology?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,How the networks are classified on the basis of network extent?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is Switching?  what are the different types of switching in communication?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is Routing?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is a routing table?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is the OSI model? Application of each layer of the OSI model.
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is TCP/ IP reference model?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is Addressing?  what are the different classifications of addressing techniques?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is IP version 4 of IP addressing?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as medium difficulty,What is Subnetting?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as medium difficulty,What is IPV 6? what features of IPV 6  are different from IPV 4?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as medium difficulty,What is the Address resolution protocol? How do ARP works?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is reverse ARP?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the functions of the Application layer protocol?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What does the Port number specify?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is DNS? How does DNS work?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as easy difficulty,What is Cryptography?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What are the different types of Cryptography techniques used for Network security
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the types of Attacks on a communication network?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the services required to make Communication secure?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What is Firewall? what are the advantages of using a Firewall?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as meduim difficulty,What are the different types of firewalls?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Tunnelling?
Provide a good Communications system and networking enigeering question to test proper experience and nuance categorize this question as hard difficulty,What is Pretty good privacy (PGP)?
